"X" "XY" "X_XY" "Y" "ID"
"178" 3600 3020 3600 6099 "1e-13_10_0.01_0.85_-0.05_1e-08_1:1e-12_1_10_0.9_-0.05_1e-08_1"
"179" 3622 3029 3622 6102 "1e-12_10_0.01_0.85_-0.05_1e-08_1:1e-12_1_10_0.9_-0.05_1e-08_1"
"180" 3871 3121 3871 6136 "1e-11_10_0.01_0.85_-0.05_1e-08_1:1e-12_1_10_0.9_-0.05_1e-08_1"
"181" 3601 3019 3601 6100 "1e-13_0.001_0.01_0.85_-0.05_1e-08_1:1e-12_10_10_0.9_-0.05_1e-08_1"
"182" 3617 3024 3617 6102 "1e-12_0.001_0.01_0.85_-0.05_1e-08_1:1e-12_10_10_0.9_-0.05_1e-08_1"
"183" 3798 3072 3798 6120 "1e-11_0.001_0.01_0.85_-0.05_1e-08_1:1e-12_10_10_0.9_-0.05_1e-08_1"
"184" 3601 3020 3601 6100 "1e-13_1_0.01_0.85_-0.05_1e-08_1:1e-12_10_10_0.9_-0.05_1e-08_1"
"185" 3617 3026 3617 6102 "1e-12_1_0.01_0.85_-0.05_1e-08_1:1e-12_10_10_0.9_-0.05_1e-08_1"
"186" 3799 3099 3799 6118 "1e-11_1_0.01_0.85_-0.05_1e-08_1:1e-12_10_10_0.9_-0.05_1e-08_1"
"187" 3601 3022 3601 6100 "1e-13_10_0.01_0.85_-0.05_1e-08_1:1e-12_10_10_0.9_-0.05_1e-08_1"
"188" 3617 3048 3617 6102 "1e-12_10_0.01_0.85_-0.05_1e-08_1:1e-12_10_10_0.9_-0.05_1e-08_1"
"189" 3870 3141 3870 6136 "1e-11_10_0.01_0.85_-0.05_1e-08_1:1e-12_10_10_0.9_-0.05_1e-08_1"
"190" 3600 3019 3600 6098 "1e-13_0.001_1_0.85_-0.05_1e-08_1:1e-12_0.001_10_0.9_-0.05_1e-08_1"
"191" 3617 3031 3617 6098 "1e-12_0.001_1_0.85_-0.05_1e-08_1:1e-12_0.001_10_0.9_-0.05_1e-08_1"
"192" 3814 3134 3814 6093 "1e-11_0.001_1_0.85_-0.05_1e-08_1:1e-12_0.001_10_0.9_-0.05_1e-08_1"
"193" 3600 3019 3600 6098 "1e-13_1_1_0.85_-0.05_1e-08_1:1e-12_0.001_10_0.9_-0.05_1e-08_1"
"194" 3618 3032 3618 6098 "1e-12_1_1_0.85_-0.05_1e-08_1:1e-12_0.001_10_0.9_-0.05_1e-08_1"
"195" 3832 3145 3832 6092 "1e-11_1_1_0.85_-0.05_1e-08_1:1e-12_0.001_10_0.9_-0.05_1e-08_1"
