"X" "XY" "X_XY" "Y" "ID"
"188" 3321 2769 3321 6337 "1e-12_1_1_0.85_0_1e-06_1:1e-11_1_1_0.9_0_1e-06_1"
"189" 3558 2941 3558 6322 "1e-11_1_1_0.85_0_1e-06_1:1e-11_1_1_0.9_0_1e-06_1"
"190" 5104 2937 5104 5104 "1e-13_1_1_0.9_0_1e-06_1:1e-13_1_1_0.9_0_1e-06_1"
"191" 5182 3137 5182 5102 "1e-12_1_1_0.9_0_1e-06_1:1e-13_1_1_0.9_0_1e-06_1"
"192" 6182 3543 6182 5073 "1e-11_1_1_0.9_0_1e-06_1:1e-13_1_1_0.9_0_1e-06_1"
"193" 5102 3137 5102 5182 "1e-13_1_1_0.9_0_1e-06_1:1e-12_1_1_0.9_0_1e-06_1"
"194" 5179 3224 5179 5179 "1e-12_1_1_0.9_0_1e-06_1:1e-12_1_1_0.9_0_1e-06_1"
"195" 6176 3575 6176 5145 "1e-11_1_1_0.9_0_1e-06_1:1e-12_1_1_0.9_0_1e-06_1"
"196" 5073 3543 5073 6182 "1e-13_1_1_0.9_0_1e-06_1:1e-11_1_1_0.9_0_1e-06_1"
"197" 5145 3575 5145 6176 "1e-12_1_1_0.9_0_1e-06_1:1e-11_1_1_0.9_0_1e-06_1"
"198" 6073 3899 6073 6073 "1e-11_1_1_0.9_0_1e-06_1:1e-11_1_1_0.9_0_1e-06_1"
"199" 10264 3758 10264 4986 "1e-13_1_1_0.95_0_1e-06_1:1e-13_1_1_0.9_0_1e-06_1"
"200" 10628 4047 10628 4977 "1e-12_1_1_0.95_0_1e-06_1:1e-13_1_1_0.9_0_1e-06_1"
"201" 16597 4563 16597 4780 "1e-11_1_1_0.95_0_1e-06_1:1e-13_1_1_0.9_0_1e-06_1"
"202" 10263 4040 10263 5028 "1e-13_1_1_0.95_0_1e-06_1:1e-12_1_1_0.9_0_1e-06_1"
"203" 10627 4163 10627 5017 "1e-12_1_1_0.95_0_1e-06_1:1e-12_1_1_0.9_0_1e-06_1"
"204" 16595 4601 16595 4796 "1e-11_1_1_0.95_0_1e-06_1:1e-12_1_1_0.9_0_1e-06_1"
"205" 10252 4578 10252 5637 "1e-13_1_1_0.95_0_1e-06_1:1e-11_1_1_0.9_0_1e-06_1"
"206" 10614 4629 10614 5609 "1e-12_1_1_0.95_0_1e-06_1:1e-11_1_1_0.9_0_1e-06_1"
"207" 16551 4996 16551 5006 "1e-11_1_1_0.95_0_1e-06_1:1e-11_1_1_0.9_0_1e-06_1"
"208" 20331 3589 20331 4606 "1e-13_1_1_0.975_0_1e-06_1:1e-13_1_1_0.9_0_1e-06_1"
"209" 21850 3957 21850 4525 "1e-12_1_1_0.975_0_1e-06_1:1e-13_1_1_0.9_0_1e-06_1"
"210" 92666 3962 92666 3741 "1e-11_1_1_0.975_0_1e-06_1:1e-13_1_1_0.9_0_1e-06_1"
"211" 20330 4035 20330 4614 "1e-13_1_1_0.975_0_1e-06_1:1e-12_1_1_0.9_0_1e-06_1"
"212" 21849 4127 21849 4532 "1e-12_1_1_0.975_0_1e-06_1:1e-12_1_1_0.9_0_1e-06_1"
"213" 92664 4017 92664 3744 "1e-11_1_1_0.975_0_1e-06_1:1e-12_1_1_0.9_0_1e-06_1"
"214" 20323 4912 20323 4831 "1e-13_1_1_0.975_0_1e-06_1:1e-11_1_1_0.9_0_1e-06_1"
"215" 21840 4907 21840 4714 "1e-12_1_1_0.975_0_1e-06_1:1e-11_1_1_0.9_0_1e-06_1"
"216" 92624 4735 92624 3783 "1e-11_1_1_0.975_0_1e-06_1:1e-11_1_1_0.9_0_1e-06_1"
"217" 3205 2433 3205 10323 "1e-13_1_1_0.85_0_1e-06_1:1e-13_1_1_0.95_0_1e-06_1"
"218" 3212 2714 3212 10323 "1e-12_1_1_0.85_0_1e-06_1:1e-13_1_1_0.95_0_1e-06_1"
"219" 3323 3131 3323 10320 "1e-11_1_1_0.85_0_1e-06_1:1e-13_1_1_0.95_0_1e-06_1"
"220" 3185 2690 3185 10691 "1e-13_1_1_0.85_0_1e-06_1:1e-12_1_1_0.95_0_1e-06_1"
"221" 3191 2791 3191 10691 "1e-12_1_1_0.85_0_1e-06_1:1e-12_1_1_0.95_0_1e-06_1"
"222" 3292 3141 3292 10687 "1e-11_1_1_0.85_0_1e-06_1:1e-12_1_1_0.95_0_1e-06_1"
"223" 2856 2811 2856 16697 "1e-13_1_1_0.85_0_1e-06_1:1e-11_1_1_0.95_0_1e-06_1"
